waktu;Cabai_Rawit_Hijau
Sep 2017 (I);12600
Sep 2017 (II);12300
Sep 2017 (III);11750
Sep 2017 (IV);12000
Okt 2017 (I);12500
Okt 2017 (II);12500
Okt 2017 (III);14700
Okt 2017 (IV);16100
Okt 2017 (V);15700
Nov 2017 (I);15600
Nov 2017 (II);16600
Nov 2017 (III);13100
Nov 2017 (IV);11000
Des 2017 (I);15900
Des 2017 (II);17900
Des 2017 (III);19500
Des 2017 (IV);26650
Jan 2018 (I);31350
Jan 2018 (II);32300
Jan 2018 (III);37800
Jan 2018 (IV);36000
Jan 2018 (V);36100
Feb 2018 (I);36100
Feb 2018 (II);34400
Feb 2018 (III);29000
Feb 2018 (IV);28500
Mar 2018 (I);25700
Mar 2018 (II);21200
Mar 2018 (III);23800
Mar 2018 (IV);24400
Apr 2018 (I);26700
Apr 2018 (II);25000
Apr 2018 (III);22600
Apr 2018 (IV);19300
Apr 2018 (V);17500
Mei 2018 (I);20400
Mei 2018 (II);21700
Mei 2018 (III);21600
Mei 2018 (IV);17500
Jun 2018 (I);19700
Jun 2018 (II);22500
Jun 2018 (III);28500
Jun 2018 (IV);18750
Jul 2018 (I);22900
Jul 2018 (II);28000
Jul 2018 (III);33000
Jul 2018 (IV);28000
Jul 2018 (V);24500
Agu 2018 (I);22900
Agu 2018 (II);22500
Agu 2018 (III);22750
Agu 2018 (IV);24400
Sep 2018 (I);22500
Sep 2018 (II);22500
Sep 2018 (III);22800
Sep 2018 (IV);24600
Okt 2018 (I);25300
Okt 2018 (II);26500
Okt 2018 (III);26000
Okt 2018 (IV);26500
Okt 2018 (V);24700
Nov 2018 (I);22600
Nov 2018 (II);21000
Nov 2018 (III);18000
Nov 2018 (IV);17700
Des 2018 (I);21800
Des 2018 (II);22400
Des 2018 (III);24500
Des 2018 (IV);23250
Des 2018 (V);19350
Jan 2019 (I);18400
Jan 2019 (II);17600
Jan 2019 (III);15500
Jan 2019 (IV);15500
Feb 2019 (I);18000
Feb 2019 (II);18200
Feb 2019 (III);19000
Feb 2019 (IV);19100
Mar 2019 (I);20750
Mar 2019 (II);18400
Mar 2019 (III);17800
Mar 2019 (IV);17500
Apr 2019 (I);17000
Apr 2019 (II);15500
Apr 2019 (III);16000
Apr 2019 (IV);16500
Apr 2019 (V);17000
Mei 2019 (I);19900
Mei 2019 (II);20000
Mei 2019 (III);18800
Mei 2019 (IV);20650
Jun 2019 (I);22500
Jun 2019 (II);25900
Jun 2019 (III);24600
Jun 2019 (IV);32900
Jul 2019 (I);48800
Jul 2019 (II);53300
Jul 2019 (III);64000
Jul 2019 (IV);65000
Jul 2019 (V);63000
Agu 2019 (I);56500
Agu 2019 (II);57500
Agu 2019 (III);45500
Agu 2019 (IV);37000
Sep 2019 (I);35500
Sep 2019 (II);34000
Sep 2019 (III);34400
Sep 2019 (IV);32500