Waktu;Beras_Kualitas_Bawah_I;Beras_Kualitas_Bawah_II;Beras_Kualitas_Medium_I;Beras_Kualitas_Medium_II ;Beras_Kualitas_Super_I;Beras_Kualitas_Super_II;Daging_Ayam_Ras_Segar;Daging_Sapi_Kualitas_I;Daging_Sapi_Kualitas_II;Telur_Ayam_Ras_Segar;Bawang_Merah_Ukuran_Sedang;Bawang_Putih_Ukuran_Sedang;Cabai_Merah_Besar;Cabai_Merah_Keriting;Cabai_Rawit_Hijau;Cabai_Rawit_Merah;Minyak_Goreng_Curah;Minyak_Goreng_Kemasan_Bermerk_1;Minyak_Goreng_Kemasan_Bermerk_2;Gula_Pasir_Kualitas_Premium;Gula_Pasir_Lokal
Mei 2019 (I);10000;9500;11500;11000;13500;12500;34100;115000;110000;25500;28000;56000;33100;26500;19900;28700;9500;12500;13000;13000;13000
Mei 2019 (II);10000;9500;11500;11000;13500;12500;32750;115000;110000;23000;24650;39400;32500;24400;20000;18150;9500;12500;13000;13000;13000
Mei 2017 (III);9550;9000;10550;10050;11900;11600;31400;117500;110000;22000;25000;55800;32000;26500;24500;45500;10700;13250;13500;15250;12750
Mei 2017 (IV);9550;9000;10550;10050;11900;11600;32000;117500;110000;21150;25400;55000;25650;20000;24400;46250;11000;13250;13500;15250;12750
Mei 2017 (V);9550;9000;10550;10050;11900;11600;32000;117500;110000;20750;26900;55000;24150;16250;22750;40000;11000;13250;13500;15250;12750
Jun 2017 (I);9550;9000;10550;10050;11900;11600;32000;117500;110000;19600;27200;67500;20200;15100;16500;28000;11000;13250;13500;15250;12750
Jun 2017 (II);9550;9000;10550;10050;11900;11600;32000;117500;110000;18200;27600;69000;17300;13100;15800;26100;10700;13250;13500;15250;12750
Jun 2017 (III);9550;9000;10550;10050;11900;11600;33150;117500;110000;19000;32900;68750;30250;22650;23150;31650;10500;13500;13500;15250;12750
Jun 2017 (IV);9550;9000;10550;10050;11900;11600;34375;116250;110000;19400;32200;61625;24375;17275;20075;26225;10575;13500;13500;15250;12750
Jul 2017 (I);9550;9000;10550;10050;11900;11600;35600;115000;110000;19800;31500;54500;18500;11900;17000;20800;10650;13500;13500;15250;12750
Jul 2017 (II);9550;9000;10550;10050;11900;11600;31500;115000;110000;21500;28800;49000;16900;13000;15400;28000;10650;13500;13500;15250;12750
Jul 2017 (III);9550;9000;10550;10050;11900;11600;31200;115000;110000;21700;32500;46000;16600;16900;16700;35700;10650;13500;13500;15250;12750
Jul 2017 (IV);9550;9000;10550;10050;11900;11600;30500;115000;110000;22300;29200;45000;17300;17000;14900;27000;10650;13500;13500;15250;12500
Jul 2017 (V);9550;9000;10550;10050;11900;11600;31800;115000;110000;21200;27500;37100;16900;14400;13500;24200;10650;13500;13500;15250;12500
Agu 2017 (I);9550;9000;10550;10050;11900;11600;32500;115000;110000;20300;24100;33800;17000;15200;12900;18800;10650;13500;13500;15250;12500
Agu 2017 (II);9550;9000;10550;10050;11900;11600;32000;115000;110000;19500;23500;31150;17250;15500;12900;15250;10550;13500;13500;15250;12500
Agu 2017 (III);9550;9000;10550;10050;11900;11600;32000;115000;110000;19100;21500;29000;17800;13800;12500;13500;10400;13500;13500;15250;12500
Agu 2017 (IV);9650;9100;10650;10150;12000;11700;31250;115000;110000;20000;20000;27750;15500;12650;10500;9250;10900;13500;13500;14500;12500
Sep 2017 (I);9700;9150;10700;10200;12050;11750;30800;115000;110000;20500;20000;26100;16900;14500;12600;9800;10650;13750;13250;14500;11700
Sep 2017 (II);9650;9100;10650;10150;12000;11700;30100;115000;110000;20100;20000;25500;17000;15700;12300;11100;11050;13750;13250;14500;11500
Sep 2017 (III);9750;9350;10750;10250;12000;11700;30400;115000;110000;20250;18750;24000;17150;19500;11750;10150;11400;13750;13250;14500;11750
Sep 2017 (IV);9750;9350;10750;10250;12000;11700;30000;115000;110000;19050;18200;22600;17300;16700;12000;8800;11150;13300;13050;14500;11750
Okt 2017 (I);9750;9350;10750;10250;12000;11700;30000;115000;110000;19050;17400;22200;17700;24900;12500;10100;10800;13200;12950;14500;11850
Okt 2017 (II);9750;9350;10750;10250;12000;11700;30000;115000;110000;19400;15800;21100;20800;22900;12500;10000;10750;13250;13000;14500;12000
Okt 2017 (III);9750;9350;10750;10250;12000;11700;30000;115000;110000;19500;16500;21400;20200;20300;14700;11300;10750;13250;13000;14500;12000
Okt 2017 (IV);9750;9350;10750;10250;12000;11750;30000;115000;110000;19200;18700;21800;19450;22400;16100;15300;10750;13250;13000;14500;12000
Okt 2017 (V);9750;9350;10750;10250;12000;11950;30000;115000;110000;19500;19000;21200;21600;22250;15700;14100;10700;13000;13000;14500;11800
Nov 2017 (I);9750;9350;10750;10250;12000;12000;30000;115000;110000;19500;22100;22800;26800;23900;15600;18800;10750;13000;13000;14500;11750
Nov 2017 (II);9750;9350;10750;10250;12000;12000;30100;115000;110000;19500;24700;24000;30500;29100;16600;21200;10650;13000;13000;14500;11750
Nov 2017 (III);9750;9350;10750;10250;12000;12000;31000;115000;110000;21900;23500;23800;32500;30800;13100;18000;10500;13000;13000;14450;11950
Nov 2017 (IV);9950;9550;10950;10450;12100;12100;30250;115000;110000;23000;23900;22400;32500;29900;11000;18400;10500;13000;13000;14250;12000
Des 2017 (I);9950;9550;10950;10450;12100;12100;30800;115000;110000;23300;20200;22200;31900;28800;15900;18500;10500;13000;13000;14250;12000
Des 2017 (II);10200;9750;11200;10700;12250;12250;32200;115000;110000;23900;18800;21800;33300;28500;17900;18700;10500;13000;13000;13950;12000
Des 2017 (III);10250;9750;11250;10750;12250;12250;32700;115000;110000;25100;19000;21000;33300;32500;19500;33600;10500;13000;13000;13750;12000
Des 2017 (IV);10250;9750;11250;10750;12250;12250;34000;115000;110000;25500;17850;22000;35850;32500;26650;40650;10500;13000;13000;13750;12250
Jan 2018 (I);10250;9750;11250;10750;12250;12400;34850;115000;110000;24850;17500;20500;35850;36000;31350;44150;10500;13000;13000;14000;12000
Jan 2018 (II);11000;10500;12000;11500;13400;13050;35200;115000;110000;23050;17100;21500;37300;38700;32300;47400;10500;13000;12600;14000;12000
Jan 2018 (III);11000;10500;12250;11750;13400;13050;35000;115000;110000;20800;16300;22100;43500;41000;37800;44500;10500;13000;12900;13800;12000
Jan 2018 (IV);11400;10900;12650;12150;13400;13050;34200;115000;110000;20400;15600;22500;42000;36300;36000;35700;10500;13000;13000;13750;12000
Jan 2018 (V);11500;11000;13000;12500;14050;13600;32700;115000;110000;20000;15200;22500;44000;37700;36100;35700;10500;13000;13000;13750;12000
Feb 2018 (I);11500;11000;13000;12500;14050;13700;33300;115000;110000;20000;18600;31000;45000;38500;36100;38100;10500;13000;13000;13750;12000
Feb 2018 (II);11500;11000;13000;12500;14150;14000;33500;115000;110000;21900;20150;36650;46900;40000;34400;44900;10500;13000;13000;13750;12000
Feb 2018 (III);11500;11000;13000;12500;14150;14000;32000;115000;110000;21900;20500;40000;44500;40000;29000;49500;10500;13000;13000;13750;12000
Feb 2018 (IV);11100;10600;12550;12000;14350;14000;31500;115000;110000;21000;20500;39200;42000;37300;28500;52500;10550;13000;13000;13750;12000
Mar 2018 (I);10550;10050;12050;11550;14400;13800;31500;115000;110000;20800;20500;38600;38800;39000;25700;54800;10750;13000;13000;13750;12000
Mar 2018 (II);10500;10000;12000;11500;14400;13500;32300;115000;110000;20600;24100;46800;43000;42500;21200;54800;10500;13000;13000;13750;12000
Mar 2018 (III);10500;10000;12000;11500;14400;13450;32100;115000;110000;20500;24700;54800;44800;42000;23800;43000;10500;13000;13000;13750;12000
Mar 2018 (IV);10500;10000;12000;11500;14400;13300;32250;115000;110000;20500;24400;49650;46400;35750;24400;36150;10500;13000;13000;13750;12000
Apr 2018 (I);10500;10000;12000;11500;14400;13300;32500;115000;110000;20500;29400;39700;48000;36500;26700;34400;10500;13000;13000;13750;12050
Apr 2018 (II);10500;10000;12000;11500;14400;13300;32200;115000;110000;22850;31900;35600;50300;34000;25000;33100;10500;13000;13000;13750;12150
Apr 2018 (III);10500;10000;12000;11500;14400;13300;32400;115000;110000;23500;29400;33500;50800;29000;22600;29000;10500;13000;13000;13750;12250
Apr 2018 (IV);10500;10000;12000;11500;14400;13300;32500;115000;110000;22900;30200;29500;47500;22500;19300;23000;10500;13000;13000;13750;12250
Apr 2018 (V);10500;10000;12000;11500;14400;13300;32500;115000;110000;23300;29150;25000;42400;25000;17500;22500;10500;13000;13000;13850;12250
Mei 2018 (I);10500;10000;12000;11500;14400;13300;32500;115000;110000;25150;30150;23650;40900;25000;20400;22500;10500;13000;13000;13750;12250
Mei 2018 (II);10500;10000;12000;11500;14400;13300;34300;115000;110000;25100;29000;24500;35500;25100;21700;22400;10350;13000;13000;13750;12250
Mei 2018 (III);10500;10000;12000;11500;14400;13300;34500;115000;110000;23100;30000;23900;33000;24800;21600;21800;10350;13000;13000;13750;12250
Mei 2018 (IV);10500;10000;12000;11500;14400;13300;34850;115000;110000;21850;31000;24150;27350;19650;17500;20350;10500;13000;13000;13750;12250
Jun 2018 (I);10500;10000;12000;11500;14400;13300;35000;115000;110000;21500;30300;23600;23500;23800;19700;25200;10500;13000;13000;13750;12250
Jun 2018 (II);10500;10000;12000;11500;14400;13300;39150;115850;110850;22350;31000;24500;44150;33350;22500;34150;10500;13000;13000;13750;12250
Jun 2018 (III);10500;10000;12000;11250;14400;13300;42400;115000;110000;23500;30000;25700;39000;24500;28500;28250;10500;13000;13000;13750;12250
Jun 2018 (IV);10500;10000;12000;11250;14400;13300;37250;115000;110000;23900;25750;25500;23150;17500;18750;28750;10400;13000;13000;13750;11950
Jul 2018 (I);10500;10000;12000;11000;14400;13300;34800;115000;110000;26500;24500;25000;23500;21500;22900;45500;10250;13000;13000;13750;11750
Jul 2018 (II);10500;10000;12000;11000;14400;13300;36500;115000;110000;27900;25000;26000;34000;28000;28000;44000;10000;13000;13000;13750;11750
Jul 2018 (III);10500;10000;12000;11000;14400;13300;37400;115000;110000;26200;21100;21400;30100;27500;33000;43300;9500;13000;13000;13500;11750
Jul 2018 (IV);10500;10000;12000;11000;14400;13300;43200;115000;110000;24400;22500;20000;28700;23900;28000;39600;9500;13000;13000;13500;11750
Jul 2018 (V);10500;10000;12000;11000;14400;13300;39100;115000;110000;22550;23500;20000;29000;20900;24500;34200;9500;13000;13000;13500;11750
Agu 2018 (I);10000;9500;11500;11000;13900;12800;35600;115000;110000;20950;20000;21600;30000;24700;22900;27500;9500;13000;13000;13500;11750
Agu 2018 (II);10000;9500;11500;11000;13900;12800;35500;115000;110000;21000;21150;24000;29000;22400;22500;26650;9500;13000;13000;13500;11750
Agu 2018 (III);10000;9500;11500;11000;13900;12800;34250;115000;110000;22000;18500;24000;32500;23150;22750;20000;9500;13000;13000;13500;11750
Agu 2018 (IV);10000;9500;11500;11000;13900;12800;34000;115000;110000;23100;18000;24700;32100;20000;24400;16100;9500;13000;13000;13500;11750
Sep 2018 (I);10000;9500;11500;11000;13900;12800;33000;115000;110000;22400;18000;25500;25200;16200;22500;15200;9600;13000;13000;13500;11650
Sep 2018 (II);10000;9500;11500;11000;13900;12800;33000;115000;110000;21500;16500;25500;23150;18750;22500;17900;9750;13000;13000;13500;11500
Sep 2018 (III);10000;9500;11500;11000;13900;12800;32400;115000;110000;20300;16400;25000;20500;18000;22800;15600;9750;13000;13000;13500;11500
Sep 2018 (IV);10000;9500;11500;11000;13900;12800;31000;115000;110000;19500;15000;24600;21400;22100;24600;17600;9650;13000;13000;13000;11250
Okt 2018 (I);10000;9500;11500;11000;13900;12800;31100;115000;110000;20900;14000;23900;24200;24700;25300;22700;9500;13000;13000;13000;11100
Okt 2018 (II);10000;9500;11500;11000;13900;12800;33000;115000;110000;21200;14300;24500;33000;26500;26500;25000;9500;13000;13000;13000;11000
Okt 2018 (III);10000;9500;11500;11000;13650;12550;33000;115000;110000;19700;16300;24500;38500;29300;26000;28500;9500;13000;13000;13000;11000
Okt 2018 (IV);10000;9500;11500;11000;13600;12500;33000;115000;110000;19500;17500;24500;41000;34000;26500;29500;9500;13000;13000;13000;11000
Okt 2018 (V);10000;9500;11500;11000;13500;12500;33000;115000;110000;20000;17500;24500;37500;30500;24700;25900;9500;13000;13000;13000;11000
Nov 2018 (I);10000;9500;11500;11000;13500;12500;32500;115000;110000;21500;18500;22800;33000;27000;22600;27500;9500;13000;13000;13000;11000
Nov 2018 (II);10000;9500;11500;11000;13500;12500;32500;115000;110000;21800;21500;21700;29600;23300;21000;26200;9500;13000;13000;13000;11000
Nov 2018 (III);10000;9500;11500;11000;13500;12500;32500;115000;110000;22750;23500;20750;26250;22500;18000;20250;9500;13000;13000;13000;11000
Nov 2018 (IV);10000;9500;11500;11000;13500;12500;32600;115000;110000;23200;23800;21200;24500;19000;17700;19400;9500;12500;13000;13000;11000
Des 2018 (I);10000;9500;11500;11000;13500;12500;33400;115000;110000;24200;23000;21100;28500;22800;21800;23800;9500;12500;13000;13000;11000
Des 2018 (II);10000;9500;11500;11000;13500;12500;33500;115000;110000;24900;23000;21500;35400;23200;22400;24600;9500;12500;13000;13000;11000
Des 2018 (III);10000;9500;11500;11000;13500;12500;34800;115000;110000;25000;25200;24800;35500;24200;24500;34900;9500;12500;13000;13000;11000
Des 2018 (IV);10000;9500;11500;11000;13500;12500;38500;115000;110000;27400;27000;25400;38150;26150;23250;48400;9500;12500;13000;13000;11000
Des 2018 (V);10000;9500;11500;11000;13500;12500;38150;115000;110000;25850;27850;24000;38350;27500;19350;37500;9500;12500;13000;13000;11000
Jan 2019 (I);10000;9500;11500;11000;13500;12500;35000;115000;110000;24700;28000;24800;38700;24100;18400;28700;9500;12500;13000;13000;11000
Jan 2019 (II);10000;9500;11500;11000;13500;12500;33700;115000;110000;23400;28000;25600;33000;19500;17600;28500;9500;12500;13000;13000;11000
Jan 2019 (III);10000;9500;11500;11000;13500;12500;33800;115000;110000;23800;24600;26900;28300;15500;15500;24500;9500;12500;13000;13000;11000
Jan 2019 (IV);10000;9500;11500;11000;13500;12500;32900;115000;110000;23100;20200;26800;27500;17900;15500;20000;9500;12500;13000;13000;11000
Feb 2019 (I);10000;9500;11500;11000;13500;12500;32500;115000;110000;23250;18500;28000;25000;16750;18000;19000;9500;12500;13000;13000;11000
Feb 2019 (II);10000;9500;11500;11000;13500;12500;32100;115000;110000;22500;17900;33500;27500;15200;18200;18400;9750;12500;13000;13000;11000
Feb 2019 (III);10000;9500;11500;11000;13500;12500;32000;115000;110000;22000;19600;34000;24500;16200;19000;21200;9750;12500;13000;13000;11100
Feb 2019 (IV);10000;9500;11500;11000;13500;12500;32000;115000;110000;22500;22400;34500;21500;15800;19100;21600;9550;12500;13000;13000;11500
Mar 2019 (I);10000;9500;11500;11000;13500;12500;31650;115000;110000;23000;27150;36000;21500;15500;20750;23500;9500;12500;13000;13000;11500
Mar 2019 (II);10000;9500;11500;11000;13500;12500;31500;115000;110000;22200;31000;42700;20500;15000;18400;22800;9500;12500;13000;13000;11500
Mar 2019 (III);10000;9500;11500;11000;13500;12500;31500;115000;110000;22400;32500;43500;21500;15300;17800;19100;9500;12500;13000;13000;11600
Mar 2019 (IV);10000;9500;11500;11000;13500;12500;31000;115000;110000;22800;37000;45200;20600;16100;17500;20000;9500;12500;13000;13000;11750
Apr 2019 (I);10000;9500;11500;11000;13500;12500;31000;115000;110000;23500;39000;49500;22000;16500;17000;17500;9500;12500;13000;13000;11750
Apr 2019 (II);10000;9500;11500;11000;13500;12500;31600;115000;110000;23900;39000;50000;27100;16500;15500;15500;9500;12500;13000;13000;11950
Apr 2019 (III);10000;9500;11500;11000;13500;12500;32150;115000;110000;24000;37500;50000;32500;16000;16000;18500;9500;12500;13000;13000;12000
Apr 2019 (IV);10000;9500;11500;11000;13500;12500;32700;115000;110000;23600;36000;53500;32500;16500;16500;24900;9500;12500;13000;13000;12000
Apr 2019 (V);10000;9500;11500;11000;13500;12500;33250;115000;110000;25250;33150;57400;32750;17000;17000;22500;9500;12500;13000;13000;12650
Mei 2019 (I);10000;9500;11500;11000;13500;12500;34100;115000;110000;25500;28000;56000;33100;26500;19900;28700;9500;12500;13000;13000;13000
Mei 2019 (II);10000;9500;11500;11000;13500;12500;32750;115000;110000;23000;24650;39400;32500;24400;20000;18150;9500;12500;13000;13000;13000
Mei 2019 (III);10000;9500;11500;11000;13500;12500;33100;115000;110000;22600;21600;31300;32500;22500;18800;19400;9500;12500;13000;13000;13000
Mei 2019 (IV);10000;9500;11500;11000;13500;12500;34500;115000;110000;22500;27400;33750;38750;29900;20650;20000;9500;12500;13000;13000;13000
Jun 2019 (I);10000;9500;11500;11000;13500;12500;37750;125000;120000;22500;32500;35000;60000;44750;22500;30000;9500;12500;13000;13000;13000
Jun 2019 (II);10000;9500;11500;11000;13500;12500;34700;115000;110000;22500;30500;37900;38500;32800;25900;19600;9500;12500;13000;13000;13000
Jun 2019 (III);10000;9500;11500;11000;13500;12500;32600;115000;110000;22500;28000;34600;42400;40700;24600;21700;9500;12500;13000;13000;13000
Jun 2019 (IV);10000;9500;11500;11000;13500;12500;31000;115000;110000;23750;28000;33650;48750;47150;32900;29400;9500;12500;13000;13000;12950
Jul 2019 (I);10000;9500;11500;11000;13500;12500;32100;115000;110000;23350;27600;33600;57300;53200;48800;47000;9250;12500;13000;13000;12750
Jul 2019 (II);10000;9500;11500;11000;13500;12500;33700;115000;110000;22900;26900;34000;55000;53500;53300;54500;9250;12500;13000;13000;12750
Jul 2019 (III);10000;9500;11500;11000;13500;12500;35500;119500;115000;23000;25600;33500;55500;62500;64000;65500;9250;12500;13000;13000;12750
Jul 2019 (IV);10000;9500;11500;11000;13500;12500;35100;119500;115000;23000;25000;32300;54000;58500;65000;66000;9250;12500;13000;13000;12750
Jul 2019 (V);10000;9500;11500;11000;13500;12500;34300;119500;115000;23000;24800;31100;51800;57500;63000;75000;9250;12500;13000;12900;12750
Agu 2019 (I);10000;9500;11500;11000;13500;12500;34200;119600;115000;22400;21300;30200;59000;67000;56500;76000;9350;12450;12600;12750;12400
Agu 2019 (II);10000;9500;11500;11000;13500;12500;34400;120000;115000;22700;20500;31000;63500;67000;57500;72500;9500;12750;12000;12750;12250
Agu 2019 (III);10000;9500;11500;11000;13500;12500;33600;120000;115000;23500;20800;31000;60000;57000;45500;70000;9500;12750;11850;12750;12050
Agu 2019 (IV);10000;9500;11500;11000;13500;12500;33400;120000;115000;23000;17600;29400;50000;54500;37000;59500;9500;12750;11750;12750;12000
Sep 2019 (I);10000;9500;11500;11000;13500;12500;31000;120000;115000;22800;16600;30000;39500;52000;35500;62000;9500;12750;11750;12750;12000
Sep 2019 (II);10000;9500;11500;11000;13500;12500;31800;120000;115000;22000;14800;29600;35500;42500;34000;55500;9500;12750;11750;12750;12000
Sep 2019 (III);10000;9500;11500;11000;13500;12500;32900;120000;115000;21750;14400;30000;31900;34400;34400;45000;9500;12750;11750;12750;12000
Sep 2019 (IV);10000;9500;11500;11000;13500;12500;32250;120000;115000;20750;14000;30000;30000;32500;32500;38750;9500;12750;11750;12750;12000
Sep 2019 (V);10000;9500;11500;11000;13500;12500;32500;120000;115000;20400;14000;29400;31500;30800;32500;40900;9500;12750;11750;12650;12000
